"Intersection","Gene","Gene_Function"
"Wounded_2h vs Wounded_0h","pdam_00014045","glmp-b: Glycosylated lysosomal membrane protein B (Xenopus laevis)"
"Wounded_2h vs Wounded_0h","pdam_00018580","ALKBH2: DNA oxidative demethylase ALKBH2 (Bos taurus)"
"Wounded_2h vs Wounded_0h","pdam_00024805","Sacs: Sacsin (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00010392","LWamide neuropeptides (Anthopleura elegantissima)"
"Wounded_2h vs Wounded_0h","pdam_00010393","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00020888","Fam228b: Protein FAM228B (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00006284","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00012206","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00012212","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00012232","SLC37A2: Glucose-6-phosphate exchanger SLC37A2 (Bos taurus)"
"Wounded_2h vs Wounded_0h","pdam_00024042","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00014259","cocE: Cocaine esterase (Rhodococcus sp. (strain MB1 Bresler))"
"Wounded_2h vs Wounded_0h","pdam_00017965","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00019571","alh-13: Probable delta-1-pyrroline-5-carboxylate synthase (Caenorhabditis elegans)"
"Wounded_2h vs Wounded_0h","pdam_00020171","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00002977","tmem53-b: Transmembrane protein 53-B (Xenopus laevis)"
"Wounded_2h vs Wounded_0h","pdam_00003038","Elac2: Zinc phosphodiesterase ELAC protein 2 (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h","pdam_00019345","zgpat: Zinc finger CCCH-type with G patch domain-containing protein (Danio rerio)"
"Wounded_2h vs Wounded_0h","pdam_00020501","Nmur2: Neuromedin-U receptor 2 (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h","pdam_00016124","Ccdc169: Coiled-coil domain-containing protein 169 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00020550","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00016079","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00008609","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00008596","yugO: Putative potassium channel protein YugO (Bacillus subtilis (strain 168))"
"Wounded_2h vs Wounded_0h","pdam_00004195","SLC7A3: Cationic amino acid transporter 3 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00021496","CCDC148: Coiled-coil domain-containing protein 148 (Macaca fascicularis)"
"Wounded_2h vs Wounded_0h","pdam_00000964","Wrap53: Telomerase Cajal body protein 1 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00000949","Aadacl4: Arylacetamide deacetylase-like 4 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00014326","CPED1: Cadherin-like and PC-esterase domain-containing protein 1 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00005591","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00005585","CXorf57: Uncharacterized protein CXorf57 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00005595","GTPBP4: Nucleolar GTP-binding protein 1 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00005093","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00005102","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00005130","Telo2: Telomere length regulation protein TEL2 homolog (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00005154","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00018257","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00011981","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00010608","Myo1b: Unconventional myosin-Ib (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h","pdam_00010610","LCT: Lactase-phlorizin hydrolase (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00010593","Robo2: Roundabout homolog 2 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00015836","AP4S1: AP-4 complex subunit sigma-1 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00005930","tctex1d1-b: Tctex1 domain-containing protein 1-B (Fragment) (Xenopus laevis)"
"Wounded_2h vs Wounded_0h","pdam_00005904","Acot11: Acyl-coenzyme A thioesterase 11 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00012803","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00018886","Dnajc4: DnaJ homolog subfamily C member 4 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00004349","hddc2: HD domain-containing protein 2 (Danio rerio)"
"Wounded_2h vs Wounded_0h","pdam_00004969","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00019762","SMAD5: Mothers against decapentaplegic homolog 5 (Gallus gallus)"
"Wounded_2h vs Wounded_0h","pdam_00025879","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00016409","GTSF1: Gametocyte-specific factor 1 (Macaca fascicularis)"
"Wounded_2h vs Wounded_0h","pdam_00015395","CaMKI: Calcium/calmodulin-dependent protein kinase type 1 (Macrobrachium nipponense)"
"Wounded_2h vs Wounded_0h","pdam_00015372","calA: Calmodulin (Dictyostelium discoideum)"
"Wounded_2h vs Wounded_0h","pdam_00021712","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00017362","Foxb1: Forkhead box protein B1 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00023573","Edf1: Endothelial differentiation-related factor 1 (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h","pdam_00023572","NFKBIL1: NF-kappa-B inhibitor-like protein 1 (Pan troglodytes)"
"Wounded_2h vs Wounded_0h","pdam_00007836","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00015431","Uncharacterized skeletal organic matrix protein 5 (Acropora millepora)"
"Wounded_2h vs Wounded_0h","pdam_00015423","slc46a1: Proton-coupled folate transporter (Danio rerio)"
"Wounded_2h vs Wounded_0h","pdam_00019828","ACTII: Actin-2 (Echinococcus granulosus)"
"Wounded_2h vs Wounded_0h","pdam_00021919","wrn-1: Probable Werner syndrome ATP-dependent helicase homolog 1 (Caenorhabditis elegans)"
"Wounded_2h vs Wounded_0h","pdam_00024855","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00006984","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00011358","DOK2: Docking protein 2 (Bos taurus)"
"Wounded_2h vs Wounded_0h","pdam_00011365","NDUFB9: NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9 (Gorilla gorilla gorilla)"
"Wounded_2h vs Wounded_0h","pdam_00009468","TTC28: Tetratricopeptide repeat protein 28 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00009449","CRIP1: Cysteine-rich protein 1 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00002445","ANKRD60: Ankyrin repeat domain-containing protein 60 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00002402","COX4I2: Cytochrome c oxidase subunit 4 isoform 2%2C mitochondrial (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00002424","GLIPR2: Golgi-associated plant pathogenesis-related protein 1 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00015319","Wdr19: WD repeat-containing protein 19 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00020205","v1g209471: UPF0669 protein v1g209471 (Nematostella vectensis)"
"Wounded_2h vs Wounded_0h","pdam_00011701","TTC1: Tetratricopeptide repeat protein 1 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00009216","POMGNT1: Protein O-linked-mannose beta-1%2C2-N-acetylglucosaminyltransferase 1 (Bos taurus)"
"Wounded_2h vs Wounded_0h","pdam_00004503","Slc5a8: Sodium-coupled monocarboxylate transporter 1 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00004515","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00004553","tnaA: Tryptophanase (Salinibacter ruber (strain DSM 13855 / M31))"
"Wounded_2h vs Wounded_0h","pdam_00023715","ATF7IP: Activating transcription factor 7-interacting protein 1 (Gallus gallus)"
"Wounded_2h vs Wounded_0h","pdam_00019706","FGF2: Fibroblast growth factor 2 (Monodelphis domestica)"
"Wounded_2h vs Wounded_0h","pdam_00024053","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00017446","PGM1: Phosphoglucomutase-1 (Bos taurus)"
"Wounded_2h vs Wounded_0h","pdam_00001053","ANO5: Anoctamin-5 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00001107","Gabpb2: GA-binding protein subunit beta-2 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00001122","nek8: Serine/threonine-protein kinase Nek8 (Danio rerio)"
"Wounded_2h vs Wounded_0h","pdam_00001152","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00001166","OAZ: Ornithine decarboxylase antizyme 1 (Gallus gallus)"
"Wounded_2h vs Wounded_0h","pdam_00013810","FGF17: Fibroblast growth factor 17 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00003533","SNX11: Sorting nexin-11 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00003512","aup1: Ancient ubiquitous protein 1 (Xenopus laevis)"
"Wounded_2h vs Wounded_0h","pdam_00017863","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00011338","TP53BP2: Apoptosis-stimulating of p53 protein 2 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00010797","Sptlc1: Serine palmitoyltransferase 1 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00019801","xnp-1: Transcriptional regulator ATRX homolog (Caenorhabditis elegans)"
"Wounded_2h vs Wounded_0h","pdam_00014119","Mboat2: Membrane-bound O-acyltransferase domain-containing protein 2 (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h","pdam_00014120","MBOAT2: Lysophospholipid acyltransferase 2 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00023261","Cdc20: Cell division cycle protein 20 homolog (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00010473","Slc35b3: Adenosine 3'-phospho 5'-phosphosulfate transporter 2 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00010489","Ester hydrolase C11orf54 homolog (Bos taurus)"
"Wounded_2h vs Wounded_0h","pdam_00006748","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00013680","Gal3st3: Galactose-3-O-sulfotransferase 3 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00013669","slc32a1: Vesicular inhibitory amino acid transporter (Xenopus tropicalis)"
"Wounded_2h vs Wounded_0h","pdam_00021668","Mpnd: MPN domain-containing protein (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00012429","emx1: Homeobox protein EMX1 (Danio rerio)"
"Wounded_2h vs Wounded_0h","pdam_00016982","AK7: Adenylate kinase 7 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00013270","washc5: WASH complex subunit 5 (Danio rerio)"
"Wounded_2h vs Wounded_0h","pdam_00025652","gpr54: G-protein coupled receptor 54 (Oreochromis niloticus)"
"Wounded_2h vs Wounded_0h","pdam_00007961","GRHPR: Glyoxylate reductase/hydroxypyruvate reductase (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00007956","Sgce: Epsilon-sarcoglycan (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00020127","WHRN: Whirlin (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00020359","BTBD19: BTB/POZ domain-containing protein 19 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00020364","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00001755","NGFR: Tumor necrosis factor receptor superfamily member 16 (Gallus gallus)"
"Wounded_2h vs Wounded_0h","pdam_00018950","Lrrc57: Leucine-rich repeat-containing protein 57 (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h","pdam_00020574","Robo3: Roundabout homolog 3 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00004655","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00004659","Rbl1: Retinoblastoma-like protein 1 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00004664","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00010350","Antxr2: Anthrax toxin receptor 2 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00010345","wnt8b: Protein Wnt-8b (Danio rerio)"
"Wounded_2h vs Wounded_0h","pdam_00001288","Parg: Poly(ADP-ribose) glycohydrolase (Drosophila melanogaster)"
"Wounded_2h vs Wounded_0h","pdam_00001252","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00001304","CAB39: Calcium-binding protein 39 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00011596","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00014962","CHKA: Choline kinase alpha (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00017664","Rnf166: RING finger protein 166 (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h","pdam_00011951","CHIC2: Cysteine-rich hydrophobic domain-containing protein 2 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00011955","hoxa3a: Homeobox protein Hox-A3a (Takifugu rubripes)"
"Wounded_2h vs Wounded_0h","pdam_00011940","Histone H2A (Acropora formosa)"
"Wounded_2h vs Wounded_0h","pdam_00006952","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00020599","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00010948","NPFFR2: Neuropeptide FF receptor 2 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00025880","TTC28: Tetratricopeptide repeat protein 28 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00009092","Mogs: Mannosyl-oligosaccharide glucosidase (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00009070","Ubox5: RING finger protein 37 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00009097","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00004033","SF3A2: Splicing factor 3A subunit 2 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00004048","Bmpr1b: Bone morphogenetic protein receptor type-1B (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00004119","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00004111","Ppp1r12c: Protein phosphatase 1 regulatory subunit 12C (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00022146","ORC3: Origin recognition complex subunit 3 (Spermophilus citellus)"
"Wounded_2h vs Wounded_0h","pdam_00018125","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00014182","Prr11: Proline-rich protein 11 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00014187","mettl16: Methyltransferase-like protein 16 (Danio rerio)"
"Wounded_2h vs Wounded_0h","pdam_00022947","Uncharacterized skeletal organic matrix protein 5 (Acropora millepora)"
"Wounded_2h vs Wounded_0h","pdam_00014387","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00012736","rnf144aa: Probable E3 ubiquitin-protein ligase RNF144A-A (Danio rerio)"
"Wounded_2h vs Wounded_0h","pdam_00022546","EFCAB12: EF-hand calcium-binding domain-containing protein 12 (Macaca fascicularis)"
"Wounded_2h vs Wounded_0h","pdam_00011207","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00015713","SOD2: Superoxide dismutase [Mn]%2C mitochondrial (Pongo pygmaeus)"
"Wounded_2h vs Wounded_0h","pdam_00014563","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00012700","At5g06550: F-box protein At5g06550 (Arabidopsis thaliana)"
"Wounded_2h vs Wounded_0h","pdam_00012697","AUG2: AUGMIN subunit 2 (Arabidopsis thaliana)"
"Wounded_2h vs Wounded_0h","pdam_00005830","mcmbp: Mini-chromosome maintenance complex-binding protein (Danio rerio)"
"Wounded_2h vs Wounded_0h","pdam_00005824","Mfn2: Mitofusin-2 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00005858","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00005865","UOX: Uricase (Oryctolagus cuniculus)"
"Wounded_2h vs Wounded_0h","pdam_00005854","rxrg: Retinoic acid receptor RXR-gamma (Xenopus laevis)"
"Wounded_2h vs Wounded_0h","pdam_00005848","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00009649","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00009659","selenoo: Selenoprotein O (Danio rerio)"
"Wounded_2h vs Wounded_0h","pdam_00009678","SLC12A2: Solute carrier family 12 member 2 (Squalus acanthias)"
"Wounded_2h vs Wounded_0h","pdam_00009677","Slc12a2: Solute carrier family 12 member 2 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00020539","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00023807","Ccdc175: Coiled-coil domain-containing protein 175 (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h","pdam_00020644","PRDX5: Peroxiredoxin-5%2C mitochondrial (Chlorocebus aethiops)"
"Wounded_2h vs Wounded_0h","pdam_00015662","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00003872","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00003938","PSMB4: Proteasome subunit beta type-4 (Bos taurus)"
"Wounded_2h vs Wounded_0h","pdam_00003945","Fbxl17: F-box/LRR-repeat protein 17 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00003959","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00019733","Atpalpha: Sodium/potassium-transporting ATPase subunit alpha (Drosophila melanogaster)"
"Wounded_2h vs Wounded_0h","pdam_00022078","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00016580","GNG11: Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-11 (Bos taurus)"
"Wounded_2h vs Wounded_0h","pdam_00020696","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00020694","DNM1: Dynamin-1 (Bos taurus)"
"Wounded_2h vs Wounded_0h","pdam_00016018","Ero1b: ERO1-like protein beta (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00014780","slc16a10: Monocarboxylate transporter 10 (Danio rerio)"
"Wounded_2h vs Wounded_0h","pdam_00012546","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00012554","CEP135: Centrosomal protein of 135 kDa (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00020901","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00013462","kctd6: BTB/POZ domain-containing protein KCTD6 (Danio rerio)"
"Wounded_2h vs Wounded_0h","pdam_00013447","ZNF76: Zinc finger protein 76 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00013461","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00003296","Elk1: ETS domain-containing protein Elk-1 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00009588","TTC28: Tetratricopeptide repeat protein 28 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00020772","Pkd1l2: Polycystic kidney disease protein 1-like 2 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00020344","Ppm1j: Protein phosphatase 1J (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h","pdam_00006110","Sdk2: Protein sidekick-2 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00021028","Mtif2: Translation initiation factor IF-2%2C mitochondrial (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00014351","SLC35F6: Solute carrier family 35 member F6 (Pongo abelii)"
"Wounded_2h vs Wounded_0h","pdam_00014339","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00020004","Mfn2: Mitofusin-2 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00025024","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00014530","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00016828","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00002081","NGR_a03790: Uncharacterized protein y4fB (Sinorhizobium fredii (strain NBRC 101917 / NGR234))"
"Wounded_2h vs Wounded_0h","pdam_00007060","Histone H2B (Acropora formosa)"
"Wounded_2h vs Wounded_0h","pdam_00006084","Usp4: Ubiquitin carboxyl-terminal hydrolase 4 (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h","pdam_00020996","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00020983","Gtpbp2: GTP-binding protein 2 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00014454","ENTPD4: Ectonucleoside triphosphate diphosphohydrolase 4 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00020058","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00020043","Oacyl: O-acyltransferase like protein (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00009424","HGSNAT: Heparan-alpha-glucosaminide N-acetyltransferase (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00024953","Micall1: MICAL-like protein 1 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00024782","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00008920","Sox4: Transcription factor SOX-4 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00010905","PSMB6: Proteasome subunit beta type-6 (Bos taurus)"
"Wounded_2h vs Wounded_0h","pdam_00013039","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00013030","TCTEX1D2: Tctex1 domain-containing protein 2 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00013035","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00017691","licD: Lipopolysaccharide cholinephosphotransferase LicD (Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd))"
"Wounded_2h vs Wounded_0h","pdam_00018835","Rwdd2b: RWD domain-containing protein 2B (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00001792","exog: Nuclease EXOG%2C mitochondrial (Danio rerio)"
"Wounded_2h vs Wounded_0h","pdam_00006836","LIG4: DNA ligase 4 (Gallus gallus)"
"Wounded_2h vs Wounded_0h","pdam_00006855","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00002880","Actn: Alpha-actinin%2C sarcomeric (Anopheles gambiae)"
"Wounded_2h vs Wounded_0h","pdam_00002875","VASH2: Vasohibin-2 (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00008670","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00004236","wipi2: WD repeat domain phosphoinositide-interacting protein 2 (Xenopus laevis)"
"Wounded_2h vs Wounded_0h","pdam_00016544","Gfpt1: Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h","pdam_00016542","Probable glutamate receptor (Lithobates berlandieri)"
"Wounded_2h vs Wounded_0h","pdam_00010000","Adora2a: Adenosine receptor A2a (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00021523","Psmb7: Proteasome subunit beta type-7 (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h","pdam_00019517","RABEPK: Rab9 effector protein with kelch motifs (Homo sapiens)"
"Wounded_2h vs Wounded_0h","pdam_00016206","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00016216","mshA: D-inositol 3-phosphate glycosyltransferase (Nocardioides sp. (strain ATCC BAA-499 / JS614))"
"Wounded_2h vs Wounded_0h","pdam_00018282","unknown function"
"Wounded_2h vs Wounded_0h","pdam_00018279","Slc50a1: Sugar transporter SWEET1 (Mus musculus)"
"Wounded_2h vs Wounded_0h","pdam_00016734","Klhdc10: Kelch domain-containing protein 10 (Rattus norvegicus)"
"Wounded_2h vs Wounded_0h","pdam_00007157","CRBN: Protein cereblon (Gallus gallus)"
"Wounded_2h vs Wounded_0h","pdam_00007144","DPAGT1: UDP-N-acetylglucosamine--dolichyl-phosphate N-acetylglucosaminephosphotransferase (Cricetulus griseus)"
"Wounded_4h vs Wounded_0h","pdam_00021773","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00020559","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00012274","SMARCA4: Transcription activator BRG1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00012260","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00009266","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00018347","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00018362","LPIN3: Phosphatidate phosphatase LPIN3 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00008149","HPRT1: Hypoxanthine-guanine phosphoribosyltransferase (Meriones unguiculatus)"
"Wounded_4h vs Wounded_0h","pdam_00008155","rsph1: Radial spoke head 1 homolog (Cyprinus carpio)"
"Wounded_4h vs Wounded_0h","pdam_00008147","esyt3: Extended synaptotagmin-3 (Xenopus tropicalis)"
"Wounded_4h vs Wounded_0h","pdam_00014852","tie1: Tyrosine-protein kinase receptor Tie-1 (Fragment) (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00018216","RPP40: Ribonuclease P protein subunit p40 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00007427","Evc: Ellis-van Creveld syndrome protein homolog (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00016000","N: Neurogenic locus Notch protein (Drosophila melanogaster)"
"Wounded_4h vs Wounded_0h","pdam_00015998","Wdr31: WD repeat-containing protein 31 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00016002","Rabgap1: Rab GTPase-activating protein 1 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00015207","TTC27: Tetratricopeptide repeat protein 27 (Gallus gallus)"
"Wounded_4h vs Wounded_0h","pdam_00015204","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00011780","LDAH: Lipid droplet-associated hydrolase (Gallus gallus)"
"Wounded_4h vs Wounded_0h","pdam_00011794","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00019851","Actin%2C cytoplasmic (Pisaster ochraceus)"
"Wounded_4h vs Wounded_0h","pdam_00019858","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00014865","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00013207","Adra1b: Alpha-1B adrenergic receptor (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00013211","Cep70: Centrosomal protein of 70 kDa (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00014819","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00020414","Flnc: Filamin-C (Rattus norvegicus)"
"Wounded_4h vs Wounded_0h","pdam_00022662","WWOX: WW domain-containing oxidoreductase (Gallus gallus)"
"Wounded_4h vs Wounded_0h","pdam_00022752","cyp17a1: Steroid 17-alpha-hydroxylase/17%2C20 lyase (Oryzias latipes)"
"Wounded_4h vs Wounded_0h","pdam_00022751","cyp17a1: Steroid 17-alpha-hydroxylase/17%2C20 lyase (Oryzias latipes)"
"Wounded_4h vs Wounded_0h","pdam_00016082","Gabarap: Gamma-aminobutyric acid receptor-associated protein (Rattus norvegicus)"
"Wounded_4h vs Wounded_0h","pdam_00016095","TMPRSS9: Transmembrane protease serine 9 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00016092","PRSS36: Polyserase-2 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00016094","PLG: Plasminogen (Macropus eugenii)"
"Wounded_4h vs Wounded_0h","pdam_00016091","TMPRSS9: Transmembrane protease serine 9 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00016089","Hatching enzyme (Paracentrotus lividus)"
"Wounded_4h vs Wounded_0h","pdam_00008338","Rsl24d1: Probable ribosome biogenesis protein RLP24 (Mus musculus)"
